State,Year,Geopolitical_Zone,Turnout_%,Governor_Party,Incumbent_Party,National_Security_Incidents,Jonathan_Votes,Jonathan_%,Buhari_Votes,Buhari_%,Atiku_Votes,Atiku_%,Tinubu_Votes,Tinubu_%,Obi_Votes,Obi_%,Kwankwaso_Votes,Kwankwaso_%,Others_Votes,Others_%,Total_Valid_Votes
Abia,2011,South-East,53.68,PDP,PDP,283,1175984.0,99.19,3743.0,0.32,,,,,,,,,5847.0,0.49,1185574.0
Adamawa,2011,North-East,53.68,PDP,PDP,283,508314.0,57.22,344526.0,38.78,,,,,,,,,35492.0,4.0,888332.0
Akwa Ibom,2011,South-South,53.68,PDP,PDP,283,1165629.0,94.99,5348.0,0.44,,,,,,,,,56148.0,4.58,1227125.0
Anambra,2011,South-East,53.68,APGA,PDP,283,1145169.0,99.24,4223.0,0.37,,,,,,,,,4512.0,0.39,1153904.0
Bauchi,2011,North-East,53.68,PDP,PDP,283,258404.0,16.16,1315209.0,82.25,,,,,,,,,25451.0,1.59,1599064.0
Bayelsa,2011,South-South,53.68,PDP,PDP,283,504811.0,99.76,691.0,0.14,,,,,,,,,506.0,0.1,506008.0
Benue,2011,North-Central,53.68,PDP,PDP,283,694776.0,67.06,109680.0,10.59,,,,,,,,,231599.0,22.35,1036055.0
Borno,2011,North-East,53.68,ANPP,PDP,283,207075.0,17.83,909763.0,78.32,,,,,,,,,44812.0,3.86,1161650.0
Cross River,2011,South-South,53.68,PDP,PDP,283,709382.0,98.42,4002.0,0.56,,,,,,,,,7360.0,1.02,720744.0
Delta,2011,South-South,53.68,PDP,PDP,283,1378851.0,98.23,8960.0,0.64,,,,,,,,,15856.0,1.13,1403667.0
Ebonyi,2011,South-East,53.68,PDP,PDP,283,480592.0,96.69,1025.0,0.21,,,,,,,,,15408.0,3.1,497025.0
Edo,2011,South-South,53.68,ACN,PDP,283,542173.0,87.99,17795.0,2.89,,,,,,,,,56216.0,9.12,616184.0
Ekiti,2011,South-West,53.68,ACN,PDP,283,185009.0,60.43,2689.0,0.88,,,,,,,,,118470.0,38.69,306168.0
Enugu,2011,South-East,53.68,PDP,PDP,283,802144.0,98.94,3753.0,0.46,,,,,,,,,4866.0,0.6,810763.0
FCT,2011,North-Central,53.68,PDP,PDP,283,253444.0,64.9,131576.0,33.69,,,,,,,,,5497.0,1.41,390517.0
