State,Geopolitical_Zone,Turnout_%,National_Security_Incidents,Prev_APC_%,Prev_ADC_%,Prev_LP_%,Prev_NNPP_%,Prev_Others_%,Total_Valid_Votes,NDC_Base_%,Year,Gov_2026,Gov_2026_Encoded,Gov_Aligns_APC,Gov_Aligns_ADC,Gov_Aligns_NDC,Gov_Aligns_APM,New_Registrations_2026,Incumbent_Party,Incumbent_Encoded,Zone_Encoded,State_Avg_APC,State_Avg_ADC,State_Avg_NDC,Zone_Avg_APC,Zone_Avg_ADC,Zone_Avg_NDC,APM_Raw_%,Prev_NDC_%,Gov_Encoded,Gov_Aligns_Incumbent,APC_Raw_%,ADC_Raw_%,NDC_Raw_%,APC_2027_%,ADC_2027_%,NDC_2027_%,APM_2027_%,Winner_2027,Gov_Is_Presidential_Candidate,Federal_Admin_Control
Abia,South-East,18.0,4923,2.41,6.13,88.4,0.33,2.73,370037.0,88.73,2027,LP,2,0,0,1,0,16691.0,APC,1,4,8.1175,57.76,22.1825,6.346,4.346,87.22200000000001,2.0,88.73,2,0,3.426241622266622,8.38091119047621,80.6336958333332,3.63,8.87,85.38,2.12,NDC,0,0
Adamawa,North-East,34.67,4923,25.01,57.12,14.45,1.1,2.32,731140.0,15.549999999999999,2027,APC,0,1,0,0,0,57312.0,APC,1,2,42.3225,54.96333333333333,3.8874999999999997,35.375,50.10333333333333,12.38,8.0,15.549999999999999,0,1,31.535513511946846,52.46999718966673,14.923764543650794,29.49,49.07,13.96,7.48,ADC,0,0
Akwa Ibom,South-South,24.92,4923,28.94,38.55,23.9,1.41,7.2,555089.0,25.31,2027,APC,0,1,0,0,0,74015.0,APC,1,5,16.3575,67.31,6.3275,28.290000000000003,26.938333333333333,41.09833333333333,2.0,25.31,0,1,27.218276760306686,32.90703834434443,17.285198928571436,34.28,41.44,21.77,2.52,ADC,0,0
Anambra,South-East,24.63,4923,0.83,1.47,95.24,0.32,2.14,613861.0,95.55999999999999,2027,APGA,2,0,0,0,0,108163.0,APC,1,4,2.325,62.446666666666665,23.889999999999997,6.346,4.346,87.22200000000001,2.0,95.55999999999999,2,0,2.774878844488845,8.033819087089396,87.48450416666661,2.77,8.01,87.23,1.99,NDC,0,0
Bauchi,North-East,31.1,4923,37.1,49.98,3.21,8.45,1.26,853516.0,11.66,2027,APM,2,0,0,0,1,169287.0,APC,1,2,72.15,28.856666666666666,2.915,35.375,50.10333333333333,12.38,18.0,11.66,2,0,44.173047961760474,44.492816473965355,7.655503088023088,38.64,38.92,6.7,15.75,ADC,1,0
Bayelsa,South-South,16.38,4923,25.75,41.62,30.23,0.33,2.07,165325.0,30.56,2027,APC,0,1,0,0,0,150279.0,APC,1,5,16.060000000000002,67.63,7.64,28.290000000000003,26.938333333333333,41.09833333333333,2.0,30.56,0,1,25.712334969474973,31.02746224662058,27.691216666666687,29.75,35.9,32.04,2.31,ADC,0,0
Benue,North-Central,28.72,4923,40.32,16.89,40.04,0.62,2.13,770075.0,40.66,2027,APC,0,1,0,0,0,161164.0,APC,1,1,38.335,44.300000000000004,10.165,39.60857142857143,25.732857142857142,31.137142857142855,3.0,40.66,0,1,34.267434673504596,27.838836389756697,30.243247559523795,35.94,29.2,31.72,3.15,APC,0,0
Borno,North-East,19.94,4923,54.22,41.03,1.55,0.99,2.2,465287.0,2.54,2027,APC,0,1,0,0,0,123835.0,APC,1,2,79.4575,22.22,0.635,35.375,50.10333333333333,12.38,8.0,2.54,0,1,47.1491536420932,44.13045294506371,2.4833553661616152,46.33,43.37,2.44,7.86,APC,0,0
Cross River,South-South,26.1,4923,31.3,22.89,43.15,0.39,2.27,416968.0,43.54,2027,APC,0,1,0,0,0,118494.0,APC,1,5,16.490000000000002,63.803333333333335,10.885,28.290000000000003,26.938333333333333,41.09833333333333,2.0,43.54,0,1,26.508832074159496,33.64070873114858,31.3000386309524,28.37,36.0,33.49,2.14,ADC,0,0
Delta,South-South,20.32,4923,14.66,26.26,55.55,0.51,3.02,615341.0,56.059999999999995,2027,APC,0,1,0,0,0,258457.0,APC,1,5,11.4575,65.36,14.014999999999999,28.290000000000003,26.938333333333333,41.09833333333333,2.0,56.059999999999995,0,1,25.289952642635143,28.684932132781793,47.07017345238095,24.54,27.84,45.68,1.94,NDC,0,0
Ebonyi,South-East,21.58,4923,13.03,4.15,79.83,0.51,2.48,325351.0,80.34,2027,APC,0,1,0,0,0,177198.0,APC,1,4,10.965,57.61333333333334,20.085,6.346,4.346,87.22200000000001,2.0,80.34,0,1,6.007415907980906,7.81599452380954,78.7126166666666,6.35,8.27,83.26,2.12,NDC,0,0
Edo,South-South,24.01,4923,24.86,15.41,56.97,0.47,2.29,581266.0,57.44,2027,APC,0,1,0,0,0,189750.0,APC,1,5,29.295,50.85666666666666,14.36,28.290000000000003,26.938333333333333,41.09833333333333,2.0,57.44,0,1,33.269187916650345,28.719105210172206,44.93901797619046,30.54,26.37,41.26,1.84,NDC,0,0
Ekiti,South-West,31.84,4923,65.38,29.06,3.7,0.09,1.77,308171.0,3.79,2027,APC,0,1,0,0,0,37426.0,APC,1,6,40.95,43.300000000000004,0.9475,56.48833333333334,24.708333333333332,14.946666666666665,5.0,3.79,0,1,48.47982699148074,29.502285489422675,3.993201397907649,55.74,33.92,4.59,5.75,APC,0,0
Enugu,South-East,22.19,4923,1.05,3.45,93.91,0.4,1.2,456424.0,94.31,2027,APC,0,1,0,0,0,19275.0,APC,1,4,4.2275,62.28,23.5775,6.346,4.346,87.22200000000001,2.0,94.31,0,1,5.460219241314243,7.869624523809539,84.93454999999996,5.45,7.85,84.71,1.99,NDC,0,0
FCT,North-Central,30.48,4923,19.76,16.13,61.23,0.98,1.9,460071.0,62.209999999999994,2027,APC,0,1,0,0,0,163140.0,APC,1,1,34.269999999999996,47.45333333333334,15.552499999999998,39.60857142857143,25.732857142857142,31.137142857142855,3.0,62.209999999999994,0,1,31.82899935275509,29.75299288576866,45.54934202380949,28.9,27.02,41.36,2.72,NDC,0,1
Gombe,North-East,33.87,4923,28.82,62.17,5.13,2.06,1.82,510043.0,7.1899999999999995,2027,APC,0,1,0,0,0,130762.0,APC,1,2,60.6875,41.306666666666665,1.7974999999999999,35.375,50.10333333333333,12.38,8.0,7.1899999999999995,0,1,39.65344334962552,50.748444044840404,6.711280618686868,37.72,48.28,6.38,7.61,ADC,0,0
Imo,South-East,25.59,4923,14.41,6.53,76.84,0.33,1.88,459261.0,77.17,2027,APC,0,1,0,0,0,253071.0,APC,1,4,15.342500000000001,56.74,19.2925,6.346,4.346,87.22200000000001,2.0,77.17,0,1,6.394722574647571,8.872897896613203,76.70674166666664,6.8,9.44,81.63,2.13,NDC,0,0
Jigawa,North-West,45.78,4923,45.78,42.0,0.2,10.67,1.35,920531.0,10.87,2027,APC,0,1,0,0,0,241401.0,APC,1,3,64.8175,36.61,2.7175,43.34428571428572,39.34571428571429,16.00857142857143,2.0,10.87,0,1,49.54429765660938,43.490861101361496,7.305931838023087,48.41,42.5,7.14,1.95,APC,0,0
Kaduna,North-West,29.36,4923,29.36,40.76,21.65,6.83,1.4,1360153.0,28.479999999999997,2027,APC,0,1,0,0,0,211771.0,APC,1,3,52.765,42.14333333333333,7.119999999999999,43.34428571428572,39.34571428571429,16.00857142857143,2.0,28.479999999999997,0,1,39.10343779864873,44.205134891880604,22.62740023809523,36.23,40.95,20.96,1.85,ADC,0,0
Kano,North-West,30.4,4923,30.4,7.74,1.67,58.59,1.6,1702005.0,60.260000000000005,2027,APC,0,1,0,0,0,490575.0,APC,1,3,64.7425,15.06,15.065000000000001,43.34428571428572,39.34571428571429,16.00857142857143,2.0,60.260000000000005,0,1,44.59603290903542,20.620886057666326,43.54990178571426,40.26,18.62,39.32,1.81,APC,0,0
Katsina,North-West,45.56,4923,45.56,46.19,0.6,6.56,1.09,1058673.0,7.159999999999999,2027,APC,0,1,0,0,0,195732.0,APC,1,3,72.47749999999999,30.866666666666664,1.7899999999999998,43.34428571428572,39.34571428571429,16.00857142857143,2.0,7.159999999999999,0,1,53.081285220850674,42.334575097072936,5.666540472582975,51.49,41.07,5.5,1.94,APC,0,0
Kebbi,North-West,44.34,4923,44.34,50.97,1.91,0.9,1.88,559522.0,2.81,2027,APC,0,1,0,0,0,179694.0,APC,1,3,65.1975,37.46,0.7025,43.34428571428572,39.34571428571429,16.00857142857143,2.0,2.81,0,1,49.36142491151134,44.6217945424705,2.801834076479076,49.97,45.17,2.84,2.02,APC,0,0
Kogi,North-Central,52.67,4923,52.7,31.77,12.31,0.93,2.29,456790.0,13.24,2027,APC,0,1,0,0,0,227048.0,APC,1,1,48.5625,48.56333333333333,3.31,39.60857142857143,25.732857142857142,31.137142857142855,3.0,13.24,0,1,37.897554525312565,38.97958104639993,11.628689476911974,41.42,42.6,12.71,3.28,ADC,0,0
Kwara,North-Central,28.48,4923,56.08,29.13,6.63,0.67,7.49,469971.0,7.3,2027,APC,0,1,0,0,0,95582.0,APC,1,1,53.1375,41.75666666666667,1.825,39.60857142857143,25.732857142857142,31.137142857142855,3.0,7.3,0,1,41.857942452287574,27.952409415661087,5.7234050559163085,53.3,35.59,7.29,3.82,APC,0,0
Lagos,South-West,17.41,4923,45.04,5.96,45.81,0.66,2.53,1271451.0,46.47,2027,APC,0,1,0,0,0,304738.0,APC,1,6,40.8,38.086666666666666,11.6175,56.48833333333334,24.708333333333332,14.946666666666665,5.0,46.47,0,1,50.02559683635807,24.193192461437533,33.4486680357143,44.4,21.47,29.69,4.44,APC,0,0
Nasarawa,North-Central,23.85,4923,31.99,27.21,35.4,2.35,3.05,540566.0,37.75,2027,APC,0,1,0,0,0,142867.0,APC,1,1,42.144999999999996,45.129999999999995,9.4375,39.60857142857143,25.732857142857142,31.137142857142855,3.0,37.75,0,1,34.950098493631835,34.5182601542269,29.359738392857153,34.32,33.9,28.83,2.95,APC,0,0
Niger,North-Central,21.81,4923,48.18,36.59,10.33,2.81,2.09,778668.0,13.14,2027,APC,0,1,0,0,0,175592.0,APC,1,1,66.6275,31.5,3.285,39.60857142857143,25.732857142857142,31.137142857142855,3.0,13.14,0,1,50.504831211804174,25.24501485445152,10.883662810245312,56.35,28.16,12.14,3.35,APC,0,0
Ogun,South-West,25.88,4923,58.88,21.35,14.79,0.38,4.6,580124.0,15.17,2027,APC,0,1,0,0,0,222660.0,APC,1,6,42.495000000000005,38.086666666666666,3.7925,56.48833333333334,24.708333333333332,14.946666666666665,5.0,15.17,0,1,49.055390902014636,27.763462516496016,13.989699841269848,51.2,28.98,14.6,5.22,APC,0,0
Ondo,South-West,19.61,4923,67.14,20.95,8.06,0.17,3.68,551008.0,8.23,2027,APC,0,1,0,0,0,41366.0,APC,1,6,41.6375,50.41,2.0575,56.48833333333334,24.708333333333332,14.946666666666665,5.0,8.23,0,1,47.41330699148071,39.249262208261634,7.762159357864357,47.69,39.48,7.81,5.03,APC,0,0
Osun,South-West,21.13,4923,46.91,48.33,3.17,0.1,1.49,733203.0,3.27,2027,Accord,2,0,0,0,0,208357.0,APC,1,6,39.16,44.44,0.8175,56.48833333333334,24.708333333333332,14.946666666666665,5.0,3.27,2,0,44.600292868104106,37.81886893409063,4.020098302669553,48.78,41.36,4.4,5.47,APC,0,0
Oyo,South-West,21.61,4923,55.58,22.6,12.24,0.51,9.07,809485.0,12.75,2027,APM,2,0,0,0,1,199900.0,APC,1,6,42.565,41.46,3.1875,56.48833333333334,24.708333333333332,14.946666666666665,40.0,12.75,2,0,48.2923590838328,27.551084917209984,12.142271699134197,37.73,21.53,9.49,31.25,APC,1,0
Plateau,North-Central,23.58,4923,28.23,22.41,42.85,0.81,5.7,1088170.0,43.660000000000004,2027,APC,0,1,0,0,0,68353.0,APC,1,1,35.655,49.63333333333333,10.915000000000001,39.60857142857143,25.732857142857142,31.137142857142855,3.0,43.660000000000004,0,1,32.91484312893806,30.675244416774227,31.616388035714273,33.52,31.24,32.19,3.05,APC,0,0
Rivers,South-South,23.49,4923,44.23,16.9,33.43,0.25,5.19,523651.0,33.68,2027,APC,0,1,0,0,0,70902.0,APC,1,5,18.2075,63.01333333333333,8.42,28.290000000000003,26.938333333333333,41.09833333333333,2.0,33.68,0,1,29.883541142607395,34.78584564524756,28.775733333333356,31.31,36.45,30.15,2.1,ADC,0,0
Sokoto,North-West,21.59,4923,48.64,49.19,1.12,0.22,0.82,586815.0,1.34,2027,APC,0,1,0,0,0,297810.0,APC,1,3,61.805,41.99333333333333,0.335,43.34428571428572,39.34571428571429,16.00857142857143,2.0,1.34,0,1,45.82354086909134,44.73367322616672,2.3723701280663763,48.27,47.12,2.5,2.11,APC,0,0
Taraba,North-East,22.3,4923,27.07,37.85,29.3,2.57,3.21,499358.0,31.87,2027,APC,0,1,0,0,0,161961.0,APC,1,2,38.2875,50.79666666666666,7.9675,35.375,50.10333333333333,12.38,8.0,31.87,0,1,32.27757211482961,50.234814003149296,27.127292619047623,27.44,42.7,23.06,6.8,ADC,0,0
Yobe,North-East,20.0,4923,40.03,52.47,0.64,4.83,2.03,378397.0,5.47,2027,APC,0,1,0,0,0,53523.0,APC,1,2,69.78,26.98,1.3675,35.375,50.10333333333333,12.38,8.0,5.47,0,1,45.220757149974204,44.09082474160051,3.9065428463203444,44.68,43.56,3.86,7.9,APC,0,0
Zamfara,North-West,23.1,4923,59.33,38.57,0.33,0.81,0.96,502923.0,1.1400000000000001,2027,APC,0,1,0,0,0,101511.0,APC,1,3,70.74,28.646666666666665,0.28500000000000003,43.34428571428572,39.34571428571429,16.00857142857143,2.0,1.1400000000000001,0,1,54.06893917239622,40.96103357399738,2.254773699494948,54.46,41.26,2.27,2.01,APC,0,0
