State,Year,Zone_Encoded,Turnout_%,Gov_Party_Encoded,Incumbent_Encoded,Gov_Aligns_Incumbent,National_Security_Incidents,Prev_APC_%,Prev_PDP_%,Prev_Third_Party_%,Third_Party_%,State_Avg_APC_%,State_Avg_PDP_%,Zone_Year_APC_%,Zone_Year_PDP_%
Abia,2023,4,18.0,1,1,0,751,26.31,67.96,2.19,88.4,8.1175,66.865,6.346,4.346
Adamawa,2023,1,34.67,1,1,0,751,46.59,50.55,1.89,14.45,42.3225,51.114999999999995,35.375,50.10333333333333
Akwa Ibom,2023,5,24.92,1,1,0,751,30.31,68.39,0.92,23.9,16.3575,73.91499999999999,28.290000000000003,26.938333333333333
Anambra,2023,4,24.63,2,1,0,751,5.5,86.63,2.16,95.24,2.325,70.825,6.346,4.346
Bauchi,2023,1,31.1,1,1,0,751,77.95,20.43,1.37,3.21,72.15,23.752499999999998,35.375,50.10333333333333
Bayelsa,2023,5,16.38,1,1,0,751,36.93,61.51,0.71,30.23,16.060000000000002,75.3225,28.290000000000003,26.938333333333333
Benue,2023,2,28.72,1,1,0,751,47.7,48.95,2.26,40.04,38.335,44.337500000000006,39.60857142857143,25.732857142857142
Borno,2023,1,19.94,0,1,1,751,90.94,7.8,1.03,1.55,79.4575,17.9425,35.375,50.10333333333333
Cross River,2023,5,26.1,0,1,1,751,27.8,70.1,1.53,43.15,16.490000000000002,70.875,28.290000000000003,26.938333333333333
Delta,2023,5,20.32,1,1,0,751,26.67,71.59,1.26,55.55,11.4575,72.9075,28.290000000000003,26.938333333333333
Ebonyi,2023,4,21.58,0,1,1,751,25.26,72.0,2.16,79.83,10.965,65.445,6.346,4.346
Edo,2023,5,24.01,0,1,1,751,47.77,49.17,2.26,56.97,29.295,52.4725,28.290000000000003,26.938333333333333
Ekiti,2023,3,31.84,0,1,1,751,57.52,40.41,1.34,3.7,40.95,47.1475,56.48833333333334,24.708333333333332
Enugu,2023,4,22.19,1,1,0,751,12.93,84.45,1.6,93.91,4.2275,70.83,6.346,4.346
FCT,2023,2,30.48,0,1,1,751,35.91,61.33,1.96,61.23,34.269999999999996,48.4,39.60857142857143,25.732857142857142
Gombe,2023,1,33.87,0,1,1,751,72.71,24.99,1.93,5.13,60.6875,36.2375,35.375,50.10333333333333
Imo,2023,4,25.59,0,1,1,751,27.46,65.47,3.89,76.84,15.342500000000001,62.442499999999995,6.346,4.346
Jigawa,2023,0,45.78,0,1,1,751,71.84,26.21,1.67,0.2,64.8175,30.9,43.34428571428572,39.34571428571429
Kaduna,2023,0,29.36,0,1,1,751,59.72,39.05,0.91,21.65,52.765,39.089999999999996,43.34428571428572,39.34571428571429
Kano,2023,0,30.4,0,1,1,751,77.45,20.71,1.59,1.67,64.7425,13.83,43.34428571428572,39.34571428571429
Katsina,2023,0,45.56,0,1,1,751,79.21,19.8,0.79,0.6,72.47749999999999,24.8575,43.34428571428572,39.34571428571429
Kebbi,2023,0,44.34,0,1,1,751,76.86,20.39,2.44,1.91,65.1975,31.8225,43.34428571428572,39.34571428571429
Kogi,2023,2,52.67,0,1,1,751,54.87,41.88,1.92,12.31,48.5625,45.322500000000005,39.60857142857143,25.732857142857142
Kwara,2023,2,28.48,0,1,1,751,67.22,30.06,2.14,6.63,53.1375,38.85,39.60857142857143,25.732857142857142
Lagos,2023,3,17.41,0,1,1,751,53.31,41.12,4.48,45.81,40.8,39.515,56.48833333333334,24.708333333333332
Nasarawa,2023,2,23.85,0,1,1,751,49.92,48.87,0.57,35.4,42.144999999999996,47.2125,39.60857142857143,25.732857142857142
Niger,2023,2,21.81,0,1,1,751,71.88,25.59,2.08,10.33,66.6275,28.21,39.60857142857143,25.732857142857142
Ogun,2023,3,25.88,0,1,1,751,49.94,34.5,10.42,14.79,42.495000000000005,38.315,56.48833333333334,24.708333333333332
Ondo,2023,3,19.61,0,1,1,751,43.48,49.62,4.88,8.06,41.6375,49.0075,56.48833333333334,24.708333333333332
Osun,2023,3,21.13,1,1,0,751,48.64,47.21,3.24,3.17,39.16,43.0525,56.48833333333334,24.708333333333332
Oyo,2023,3,21.61,1,1,0,751,43.66,43.83,6.96,12.24,42.565,39.7,56.48833333333334,24.708333333333332
Plateau,2023,2,23.58,0,1,1,751,45.28,53.02,1.22,42.85,35.655,51.2125,39.60857142857143,25.732857142857142
Rivers,2023,5,23.49,1,1,0,751,23.47,73.81,2.07,33.43,18.2075,71.0075,28.290000000000003,26.938333333333333
Sokoto,2023,0,21.59,1,1,0,751,56.24,41.47,1.91,1.12,61.805,36.055,43.34428571428572,39.34571428571429
Taraba,2023,1,22.3,1,1,0,751,45.58,52.57,1.63,29.3,38.2875,51.5025,35.375,50.10333333333333
Yobe,2023,1,20.0,0,1,1,751,89.01,9.08,1.46,0.64,69.78,21.5825,35.375,50.10333333333333
Zamfara,2023,0,23.1,0,1,1,751,75.84,21.68,2.18,0.33,70.74,26.2425,43.34428571428572,39.34571428571429
